City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
New Administrative Capital,"3,000,000", 120 m2,2,2,apartment
New Administrative Capital,"4,175,000", 167 m2,3,2,apartment
New Administrative Capital,"5,000,000", 200 m2,3,3,apartment
New Administrative Capital,"3,450,000", 138 m2,2,2,apartment
New Administrative Capital,"3,650,000", 146 m2,3,2,apartment
New Administrative Capital,"2,750,000", 110 m2,2,2,apartment
New Administrative Capital,"3,250,000", 130 m2,2,2,apartment
New Administrative Capital,"4,000,000", 160 m2,3,2,apartment
New Administrative Capital,"3,750,000", 150 m2,3,2,apartment
New Administrative Capital,"3,125,000", 125 m2,2,2,apartment
Sheikh Zayed,"5,500,000", 330 m2,5,3,villa
Sheikh Zayed,"5,300,000", 315 m2,5,3,villa
Sheikh Zayed,"5,230,000", 310 m2,5,3,villa
Sheikh Zayed,"5,200,000", 306 m2,5,3,villa
Sheikh Zayed,"5,000,000", 300 m2,5,3,villa
Sheikh Zayed,"4,520,000", 270 m2,4,3,town-house
Sheikh Zayed,"4,400,000", 266 m2,4,3,town-house
Sheikh Zayed,"4,350,000", 263 m2,4,3,town-house
Sheikh Zayed,"4,200,000", 253 m2,4,3,town-house
Sheikh Zayed,"4,000,000", 250 m2,4,3,town-house
Sheikh Zayed,"3,420,000", 242 m2,4,3,twin-house
Sheikh Zayed,"3,460,000", 247 m2,4,3,twin-house
Sheikh Zayed,"3,300,000", 240 m2,4,3,twin-house
Sheikh Zayed,"3,210,000", 235 m2,4,3,twin-house
Sheikh Zayed,"3,000,000", 231 m2,4,3,twin-house
Mostakbal City,"1,485,000", 135 m2,3,2,apartment
6th October,"5,618,000", 212 m2,4,3,apartment
New Cairo,"4,025,000", 200 m2,4,2,town-house
Al Ain Al Sokhna,"14,964,000", 250 m2,5,4,villa
Al Ain Al Sokhna,"4,028,000", 145 m2,2,2,chalet-with-garden
Mostakbal City,"1,616,160", 83 m2,2,2,apartment
New Cairo,"3,556,916", 187 m2,3,3,apartment
Katameya City,"3,870,400", 328 m2,5,4,apartment
Mostakbal City,"5,447,000", 419 m2,7,6,twin-house
Mostakbal City,"2,340,000", 180 m2,4,3,town-house
Mostakbal City,"1,950,000", 163 m2,3,2,apartment
New Administrative Capital,"4,464,000", 28 m2,3,2,apartment
Mostakbal City,"2,160,000", 180 m2,3,2,apartment
Mostakbal City,"1,956,000", 163 m2,3,2,apartment
New Cairo,"2,324,880", 133 m2,3,2,pent-house
New Cairo,"3,765,810", 154 m2,3,2,apartment
New Cairo,"2,300,700", 104 m2,2,1,apartment
New Cairo,"2,747,500", 157 m2,3,2,apartment
Shorouk City,"5,450,000", 243 m2,4,2,town-house
New Administrative Capital,"2,108,000", 190 m2,4,3,apartment
New Cairo,"8,635,500", 268 m2,3,5,twin-house
Nasr City,"1,627,400", 158 m2,3,3,apartment
Nasr City,"1,945,000", 150 m2,2,2,apartment
Nasr City,"2,231,000", 162 m2,2,2,apartment
New Cairo,"3,825,000", 343 m2,5,3,villa
New Administrative Capital,"3,000,000", 130 m2,2,2,office
New Cairo,"11,000,000", 282 m2,4,3,villa
6th October,"2,681,888", 142 m2,3,2,apartment
Katameya City,"580,000", 63 m2,1,1,studio
New Cairo,"3,340,000", 167 m2,3,3,apartment
Mostakbal City,"2,040,000", 120 m2,2,2,apartment
New Administrative Capital,"4,333,000", 240 m2,3,2,apartment
6th October,"4,000,000", 250 m2,3,3,pent-house
New Cairo,"6,340,000", 156 m2,3,3,pent-house
New Cairo,"14,735,000", 356 m2,4,3,villa
New Cairo,"6,000,000", 65 m2,1,1,store
6th October,"6,535,629", 325 m2,5,3,twin-house
New Cairo,"17,000,000", 310 m2,5,4,twin-house
Mostakbal City,"1,450,000", 130 m2,3,1,apartment
New Heliopolis City,"2,481,000", 143 m2,3,2,apartment
New Cairo,"2,990,000", 157 m2,3,3,apartment
New Cairo,"8,300,000", 289 m2,4,3,pent-house
Sheikh Zayed,"3,145,000", 185 m2,3,2,apartment
6th October,"2,350,000", 256 m2,3,3,villa
New Cairo,"4,250,000", 260 m2,4,4,twin-house
New Cairo,"3,000,000", 176 m2,3,2,apartment
New Cairo,"3,786,000", 133 m2,3,2,apartment
New Cairo,"7,947,000", 217 m2,4,3,apartment
New Administrative Capital,"4,300,000", 247 m2,4,3,twin-house
New Cairo,"6,500,000", 306 m2,4,4,town-house
New Administrative Capital,"7,500,000", 376 m2,5,3,villa
New Administrative Capital,"6,600,000", 230 m2,4,3,town-house
New Cairo,"3,376,000", 156 m2,2,2,apartment
Shorouk City,"3,500,000", 400 m2,4,4,twin-house
New Cairo,"2,756,654", 165 m2,3,2,town-house
Al Ain Al Sokhna,"7,000,000", 490 m2,5,4,villa
Sheikh Zayed,"5,700,000", 230 m2,4,4,duplex
New Cairo,"4,050,000", 165 m2,3,2,pent-house
New Administrative Capital,"12,933,000", 212 m2,4,3,apartment
New Administrative Capital,"1,960,000", 174 m2,4,4,apartment
Nasr City,"706,800", 57 m2,1,1,apartment
Al Ain Al Sokhna,"2,929,794", 188 m2,3,3,town-house
Al Ain Al Sokhna,"5,800,000", 400 m2,6,5,villa
Al Ain Al Sokhna,"7,100,000", 600 m2,6,5,villa
Mostakbal City,"1,390,000", 160 m2,3,3,apartment
New Cairo,"3,180,000", 350 m2,4,4,town-house
New Cairo,"3,840,000", 160 m2,3,2,apartment
Mostakbal City,"4,433,960", 378 m2,5,3,duplex
Mostakbal City,"3,621,100", 267 m2,4,3,duplex
Mostakbal City,"2,122,200", 162 m2,3,2,pent-house
Mostakbal City,"1,570,960", 105 m2,2,2,apartment
Katameya City,"1,400,000", 145 m2,3,2,apartment
Alex Desert Road,"2,200,000", 88 m2,2,1,apartment
Alex Desert Road,"5,000,000", 237 m2,3,4,apartment
New Cairo,"9,800,000", 372 m2,4,4,villa
New Cairo,"3,731,000", 160 m2,2,2,apartment
6th October,"16,652,468", 627 m2,6,5,villa
Mostakbal City,"2,434,900", 150 m2,3,2,apartment
6th October,"5,449,000", 195 m2,3,2,apartment
Mostakbal City,"1,956,000", 163 m2,3,2,apartment
New Administrative Capital,"1,845,860", 131 m2,2,2,apartment
New Cairo,"2,431,095", 123 m2,3,2,apartment
New Administrative Capital,"4,100,000", 225 m2,3,2,apartment
New Cairo,"3,000,000", 110 m2,2,2,apartment
New Cairo,"5,100,000", 225 m2,4,2,duplex
New Cairo,"3,800,000", 250 m2,3,4,town-house
New Cairo,"19,300,000", 465 m2,6,6,villa
